Name,Experience Description,Image 1,Category Name (from dim_city_category),City Value,Price per participant,Min number of participants,Max number of participants,Webflow Slug
Engineering Joy: Emotional Fitness Workout,"We all need an emotional fitness workout in the same way we need a physical fitness workout. Best-selling author ShamanIsis, pen name for communications pioneer Cynthia Elliott, teaches you and your team how to feel great and give your best performance at work and in life! This is a fun, educational, and inspiring workshop.",Screen Shot 2023-10-06 at 12.19.42 PM.png (https://v5.airtableusercontent.com/v2/22/22/1699999200000/NCCME_M_-8Svq9O1WsBxTg/0FM4waX-HiVfA7narmGrOO7rzLWNjAtDOFMpo304hMDgx0J8sCczuYDgYXp-I1ldGjJDDa0D5HMRrI00pR2tL2kKQON1nlCiAwR2HBvU79B482C1fuz4FIdiDqZCPV67xxGdkfsY_02coJa7uNrR4MQpGeG5-Fhcn2ojHVH-r3E4v582tiQf2WjrJ_aAnyf6/NDKdOYm1Gecvb_jPGFuPqIHh_akoJDL-Lgx-UYjNzPc),Wellness,New York,$25.00,10,1000,engineering-joy-emotional-fitness-workout-40ac0
Calligraphy Workshop,Beginner calligraphy workshops: learn the basics of calligraphy with a local expert.,4f8c6c38.jpg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/pAujngJvqaW9q452lt-rBQ/KfSeb36nTh333JOOe36Gc8zCyH7q17iDaXs61FSoM2pbKRT32nU1rui9vdYkCHAYyrFMMKUSNAZN-KlcL2LlGSmOsvzX6p8jQ-hyIfdCHRwzBnEecgop1dsC4p1SkzmSpao3doevlb3qVdAM6KcfvA/rwoJIHcpl8cS2g9M9V6kfrzBiP7VPsAqtv98AiKVoio),Arts and Crafts,New York,$50.00,5,15,calligraphy-workshop
Coffee Tasting Class & Roastery Tour,"If you love coffee and want to explore its art and science, this is the experience for you. Join Matt Falber, the founder of City Boy Coffee, a New York based small-batch roaster, for a unique and cozy session at his roastery. Matt will show you how he sources, processes, and roasts his beans from different countries and altitudes. You will taste eight of his finest coffees and learn how to appreciate their qualities like a pro. You will discover new flavors and aromas and have a fun and memorable time in the world of coffee. Don’t miss this chance to learn from Matt’s passion and expertise.",coffee1.JPG (https://v5.airtableusercontent.com/v2/22/22/1699999200000/lnGKblwkvlIKUn6hqO5vug/MrS_DCXYQ4qSdrqK7DrKDlY6HT98m6QdwpCuErKeWHUGtjrEhvJuaW8DYuetFZGIt9tLZhR3BKQYz8Rtapm69PRRUO8DdYwUBl0PuLghvuBwykzOOQUbxl4nqphlFpxKSKV3svnkyoyYlOH-xGT8qg/POJ9qNgna_QHHsbrcNVBBz3P3LaUga_2zapxrY85bZ0),Drink Crafting,New York,$70.00,8,16,coffee-tasting-class-roastery-tour-24bf0
Yoga Class,"As a certified Vinyasa yoga instructor, I will provide a 40-60 minute yoga session which will include meditation, aromatherapy, a sound bath and a sage cleansing. We provide sessions in person and online.",yoga1.JPG (https://v5.airtableusercontent.com/v2/22/22/1699999200000/fWZoC7xWcYvsaWU7UFrE3A/YyuQBqZtBol3SeIs21AvFidmTu2imjZPxz4CD6J5onzoVmcEvujMG0tKf8kOlHSo8_yeDueG-igywO2IKH_ndxYovx-GlrmJeWney3nmP3ZJQX2MiBwZSbD4sYETIydmmYEW0_iEjUxfiwotoRyuag/bWtDILxtJp_ZBt466zrxGyUPD6grfWYIMEV4BfuLEik),Wellness,New York,$50.00,5,20,yoga-class
Natural dye workshop,"Experience the wonderful colorful world of natural dyes. Create a one of a kind silk scarf and paintings made by you. You will learn about natural dyes, textiles, dyes used historically, and how to continue to practice the art of dyeing at home. This two hour workshop will cover how to bundle dye textiles and make inks using plants and minerals. Each participant will leave with their dyed items and an instruction sheet.",dye.JPG (https://v5.airtableusercontent.com/v2/22/22/1699999200000/ysyktdCnfFaE_NQZcV0_9w/OFmreDBxR8Gyy8XkAONrubiI9DQZA6394A03_zf16HvGh22mEGUM6pKXNelmgsumn2YaqpzY2kWA1AswAXQcmax_2NxZKLzZpGkA6ZHGVWn0ERn7kaCDRWLi7hwbQLXSyq9C2hoS8qyVPOlYHN_UDQ/VlDKY4TZPkYL0EtGTp0Ffa43RXFbdgXotkDjaAdqj7g),Arts and Crafts,New York,$115.00,6,12,natural-dye-workshop
Make Your Own Bath Bombs,"Unleash your creativity at our Bath Bomb Workshop! Dive into the science behind the fizz, explore therapeutic benefits, and craft your personalized bath bomb. An experience that marries relaxation with education, you'll leave with a handcrafted piece and newfound knowledge. Let's create magic!",30f6cecd-34c7-4a33-8bc2-71df23658ee2.jpg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/8Oqz9-8SvrcFxRxnmk6k7A/mDg6gZ1eNGOFXzI3MxwlXKp4JxwoKgz4sGEdRfgvTASFcOPz9HHUTpgbJjkC_2RPsCesMqB2dxFc_ED0T20YHBpYbeHLW6_x20bMPclP6WMUtvH0aMrlYsRRc36MEBfXxRAegKmqn-NRAUeC9_aRmyJHp9jA84B2S_ack3LZ1eVgLD5CeQ1bfGxcomEiEaP5/uNh4T9lkgnZl4TRyFgmc0157aOKFR478XjdmSltWvq0),Arts and Crafts,New York,$60.00,30,55,make-your-own-bath-bombs
Ice Cream Popup Cart,"Solo Scoop Creamery is a Black Woman Owned artisanal mobile creamery based in the heart of Brooklyn.
 Our exclusive flavors are inspired by our owner Dennine’s past and future solo travels.",icecream.JPG (https://v5.airtableusercontent.com/v2/22/22/1699999200000/0c7cX74pf5a5xhpNVvlIig/B0I-ET3sMDILGIrZQPRicDswOTNnCEPmIER3aaMcpMoZLUpWBguFFh-_TDStrcsPc5YtKXsHTEl8xUT4lRk9bR8lT5NeLOtMFYCBD5n7dW2LtYPuK24anUXu3cRKK1svyND-atEWajpPb9baOmfZXw/KCXBJajzvelb4cMzCY5DZ3NoT5kt9XHhi0K8l62Nev0),Add-ons,New York,$21.00,50,200,catering
Chocolate truffle making workshop,"During this fun & info filled class, students learn a simple technique to make chocolate ganache, then we make various treats with it to enjoy during the class. Finally folks hand roll and finish a dozen truffles to take home along with their 'homework' chocolate ganache and a foolproof recipe guaranteed to impress friends and family!",CD319BDE-9364-4D38-B7EF-5F0FF9C0F564_1_201_a.jpeg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/eMH6AGitmfceNu7GiBfn4A/-Oa3J5E2jcvAgdrlTRPITbYkGtdq8mRQaTkkXJsYsfUf40qsMJtIN4AckSx4BPDGzrtLG-4jq08Dfgymnli5KGYJQu8npKCgQCV9KKm93LHfEAjPM-fbN4x-7IdfKEp5r1VMntwBcLwDnzlZSeLJ9Ti7s0RQG3m6yagZQxAtowFnG-b_UppN_LPD7OppUPA5mK8yvBmIcDJ0cSunW55h0Q/vqNrqoNJ53SKpNtyhTPA3JOaSVgnNPN4-8UdeBjFpCg),Cooking and Baking,New York,$100.00,5,30,chocolate-truffle-making-workshop
Handmade ceramics workshop,"Participants will learn fundamental hand-building skills using stoneware clay and create their own Japanese-style teacup (yunomi), catch-all dish, or mini vase. They will be able to choose their glaze colors as well, and pick up their pieces in ~3 weeks after final kiln firings. All tools (to borrow) and firing services are included in costs.",pottery.JPG (https://v5.airtableusercontent.com/v2/22/22/1699999200000/2KdlhdsInYcTaxMLUtoz3Q/9UZVy3un9U4-UbTXFPhBLiN7I8BeeuB6IsVdXMRGaUslt890VsJSHRRVOgezPQ9xsDblUUP7WjLrkeuJGRPtRyjnMuNx1Kyo-iMMlIxnMSKNTsXc8wrLuuCgoGWlJTewsv1F3mwXtS95LrgcgzGnFw/C6-kMVinZukhml_oCWvwVw8MvfmNQowh2bPyOdWQWXc),Arts and Crafts,New York,$55.00,4,8,handmade-ceramics-workshop
Art and Crafts Workshop,"🎨 Experience Artistry Unleashed at Brooklyn Paints Art Studio 🎨
 

 Step into a world where creativity knows no boundaries, where each brushstroke tells a story, and colors come alive on the canvas. Welcome to Brooklyn Paints Art Studio, a sanctuary of artistic expression located in the heart of vibrant Brooklyn.
 

 Discover Your Inner Artist:
 At Brooklyn Paints, we believe that art is a journey of self-discovery. Our studio is a place where novices and seasoned artists alike can embrace their creativity in a supportive and inspiring environment. With a diverse range of art classes and workshops, led by experienced artists, you'll have the opportunity to explore various mediums, techniques, and styles. Whether you're a beginner or an experienced artist, we provide the guidance and space for you to uncover your unique artistic voice. We provide workshops from ceramic painting, paint and sips, tie-dye, crafting and anything art galore. There are no limits to what we can do.",DSC04146-2.jpg (https://v5.airtableusercontent.com/v2/22/22/1699999200000/qsypixcrIJKd1d7QDEO_yQ/XEtAd0BZW6SI0oPTFcRA8iZaVka-HWP6rPslnfGTgnd4V_X7PyM9aaqEOz0YvRRDp00W6xc8FQczXMra_sTaUZYDodgL2X7YVQTzsNOOf7pIygrHV43J1tn67-1izCaIsCoWUXknc7zUKP1KKZh8sw/jlq-c9-iCM9xo1ID8IHT3Jp4O-EPzcoMCvwnGuArrTc),Arts and Crafts,New York,$50.00,10,40,art-and-crafts-workshop
